#nombre|region|elipsoide|dx|dy|dz|Rx|Ry|Rz|e
South American 1969|Ecuador (Baltra; Galapagos)|South American 1969|-47.000000|26.000000|-42.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Guyana|South American 1969|-53.000000|3.000000|-47.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|MEAN Argentina; Bolivia; Brazil; Chile|South American 1969|-57.000000|1.000000|-41.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|MEAN Colombia; Ecuador; Guyana; Paraguay|South American 1969|-57.000000|1.000000|-41.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|MEAN Peru; Trinidad and Tobago; Venezuela|South American 1969|-57.000000|1.000000|-41.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Paraguay|South American 1969|-61.000000|2.000000|-33.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Peru|South American 1969|-58.000000|0.000000|-44.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Trinidad and Tobago|South American 1969|-45.000000|12.000000|-33.000000|0.000000|0.000000|0.000000|0.000000
South American 1969|Venezuela|South American 1969|-45.000000|8.000000|-33.000000|0.000000|0.000000|0.000000|0.000000
Tananarive Observatory 1925|Madagascar|International 1924|-189.000000|-242.000000|-91.000000|0.000000|0.000000|0.000000|0.000000
Timbalai 1948|East Malaysia and Brunei|Everest 1830 (1967 Definition)|-679.000000|669.000000|-48.000000|0.000000|0.000000|0.000000|0.000000
Tokyo|Japan|Bessel 1841|-148.000000|507.000000|685.000000|0.000000|0.000000|0.000000|0.000000
Tokyo|MEAN Japan; South Korea; Okinawa|Bessel 1841|-148.000000|507.000000|685.000000|0.000000|0.000000|0.000000|0.000000
Tokyo|Okinawa|Bessel 1841|-158.000000|507.000000|676.000000|0.000000|0.000000|0.000000|0.000000
Tokyo|South Korea|Bessel 1841|-147.000000|506.000000|687.000000|0.000000|0.000000|0.000000|0.000000
Tristan Astro 1968|Tristan da Cunha|International 1924|-632.000000|438.000000|-609.000000|0.000000|0.000000|0.000000|0.000000
Viti Levu 1916|Fiji (Viti Levu Island)|Clarke 1880|51.000000|391.000000|-36.000000|0.000000|0.000000|0.000000|0.000000
Voirol 1960|Algeria|Clarke 1880|-123.000000|-206.000000|219.000000|0.000000|0.000000|0.000000|0.000000
Wake Island Astro 1952|Wake Atoll|International 1924|276.000000|-57.000000|149.000000|0.000000|0.000000|0.000000|0.000000
Wake-Eniwetok 1960|Marshall Islands|Hough 1960|102.000000|52.000000|-38.000000|0.000000|0.000000|0.000000|0.000000
WGS 1972|Global Definition|WGS 72|0.000000|0.000000|4.5|0.000000|0.000000|0.554|0.2263
WGS 1984|Global Definition|WGS 84|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000|0.000000
Yacare|Uruguay|International 1924|-155.000000|171.000000|37.000000|0.000000|0.000000|0.000000|0.000000
Zanderij|Suriname|International 1924|-265.000000|120.000000|-358.000000|0.000000|0.000000|0.000000|0.000000
